original	111	118944	134760	0.894758	0.998703	0.943878	0.893597
cqf	87	80316	96308	0.894758	0.998703	0.943878	0.893597
cml	976	77148	92836	0.878985	0.997520	0.934509	0.876800
bf2	270	3080	21000	0.023215	0.119367	0.038870	-0.148053
bf2	270	3072	20768	0.023215	0.119367	0.038870	-0.148053
