program	filename	num_reads	K	run_time	max_rss	max_vmem	diff_total_kmers	diff_total_kmers_added	diff_num_kmers_gt_1	total_kmers	total_kmers_clean	total_kmers_added	num_kmers_gt_1	avg_abs_diff_in	avg_abs_diff_out	sampled
kmc		1m	21	5	592	884463	0	0	0	0	79837082	66540175	3424406	0	0	100
perl		1m	21	1026	12014	12139	0	0	0	80000000	79837082	66540175	3424406	0	0	100
sqr		1m	21	8	202	497	0	-64448	-3424406	0	79837082	66475727	0	0	0	100
kmc		2m	21	7	1168	885420	79860919	60856500	7120061	0	159698001	127396675	10544467	0	0	100
perl		2m	21	2119	23089	23262	80000000	60856500	7120061	160000000	159698001	127396675	10544467	0	0	100
kmc		4m	21	12	1738	886364	239622135	170290512	30016906	0	319459217	236830687	33441312	0	0	100
perl		4m	21	4347	43213	43580	240000000	170290512	30016906	320000000	319459217	236830687	33441312	0	0	100
